상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
오케이상사,서울 서초구 신반포로 176 센트럴시티내100호매점,293 499 799 825 869 893 908 990 1020 1050 1067 1110 1136,13,337 397 470 513 516 518 569 599 600 608 695 701 702 704 758 759 778 788 790 796 803 816 818 844 849 862 863 863 864 878 888 910 927 935 944 977 980 998 1014 1015 1017 1019 1019 1039 1045 1054 1071 1073 1077 1082 1089 1098 1098 1100 1105 1113 1131 1133 1134 1135 1148,61,37.504354,127.003597
버스카드충전소,서울 서초구 신반포로 205 6동쇼핑앞,536 1072,2,311 339 412 440 446 709 751 773 786 890 924 931 1073,13,37.506934,127.006122
경영상회,서울 서초구 강남대로 341,,0,895 1099,2,37.49324,127.029307
로또와 토토,서울 서초구 방배로13길 18 121호,,0,873 1121,2,37.483139,126.995259
복권판매소,서울 서초구 서초중앙로 113,,0,423 774 857 948 965 1036 1041,7,37.491854,127.013698
행운복권마트,서울 서초구 서초대로 96 1층,359,1,306 579 587 676 698 731 782 822 942 1037 1071,11,37.487195,126.992855
경부선 하차장로또방,서울 서초구 신반포로 194 코너1호점 &#40;하차장로또&#41;,,0,,0,37.505509,127.007038
우리샵,서울 서초구 서초대로77길 3,699 1108,2,277 606 688 747 793 805 959 998 1005 1013 1130,11,37.497935,127.026513
교통카드,서울 서초구 강남대로 517,301 1004,2,353 393 585 638 688 731 745 823 893 914 914 914 914 914 914 914 914 990 1005 1007 1015 1027 1041 1065,24,37.508098,127.022252
이마트24 서울고속터미널4호점,서울 서초구 신반포로 194 본관1층 쇼케이스4호,1098,1,451 489 565 622 695 708 768 933,8,37.505509,127.007038
종합가판점,서울 은평구 응암로 247,,0,346 382 394 574 886,5,37.594226,126.917856
로또,서울 금천구 두산로3길 52 1층,,0,676 881 956 1069,4,37.47288,126.88886
로또복권,서울 광진구 긴고랑로 38,593 764 1102,3,265 321 389 536 732 735 798 899 918 929 983 993 1028 1028 1093,15,37.562796,127.080211
복권소매,서울 금천구 가산로5길 77 1층,1047,1,298 361 379 579 631 745,6,37.473742,126.890451
새시대복권방,서울 금천구 탑골로 6-1,422 626 1136,3,474 544 562 776 841 1093 1114,7,37.450966,126.910347
로또복권판매,서울 금천구 시흥대로62길 42 1층,,0,619 854,2,37.456293,126.902131
로또,서울 동작구 노량진로 9 5번출구가판점,,0,436 886,2,37.5129,126.92668
이대역4번출구앞가판점,서울 서대문구 신촌로 187,,0,265 1122,2,37.557041,126.94674
우리은행 앞 가판점,서울 서대문구 신촌로 275,,0,402,1,37.557704,126.956676
가로판매점,서울 서초구 동작대로 118,895,1,371 426 607 787 850 890 1019 1052 1130,9,37.486999,126.982536
청수마트,서울 서초구 강남대로10길 36,471,1,531 733 855 932 984 1054,6,37.46892,127.041356
로또복권판매소,서울 성동구 왕십리로26길 10,,0,788,1,37.563875,127.032862
옥수역복권방,서울 성동구 한림말길 49,1137,1,276 579 639 694 744 837 861 997 1135,9,37.541562,127.016597
주아킹 목동점,서울 양천구 목동로 213 1층,1090,1,662 1019,2,37.527399,126.863794
버스카드충전소,서울 영등포구 여의대방로62길 2 가판,,0,383 459 587 624 774 1111,6,37.513811,126.926662
로또방,서울 영등포구 영중로 12,736 999 1052,3,278 280 360 386 497 619 741 751 768 982 1087 1129,12,37.517626,126.906481
스탐티쉬,서울 종로구 백석동길 1 1층,,0,,0,37.592733,126.965648
축복마트,서울 중랑구 동일로 616,956,1,402 797 835 898 1019 1058,6,37.58539,127.080064
용꿈복권,서울 중랑구 봉우재로71길 21 1층,,0,358 492,2,37.596036,127.098694
씨유 망우점 2,서울 중랑구 망우로 410 1층,,0,678 947 1042 1051 1054 1055 1074 1113 1136,9,37.598976,127.097613
종합가판점,서울 은평구 통일로 749,,0,350 636 647 823 838 989 1100,7,37.611926,126.928121
가판,서울 은평구 통일로 750,,0,530 602 872 881 891 904 939 967 1010 1122,10,37.612337,126.928666
가판점,서울 도봉구 도봉로 767,,0,319 626 908,3,37.672958,127.043798
행운가판점,서울 용산구 한강대로 80,443,1,321 507 755 990 991,5,37.527348,126.966496
가로판매점,서울 용산구 한강대로 114 신용산역 1번출구앞 가판,1014,1,560 1025 1047 1096,4,37.530005,126.968167
가로판매점,서울 용산구 원효로 179,,0,836 948 948 948 948 948 1003,7,37.536075,126.962532
신문가판점,서울 용산구 한강대로77길 19 남영역 앞,337 746,2,337 524 635 639 740 771 846 999,8,37.541813,126.971918
이촌가판점,서울 용산구 이촌로71길 10,,0,788 793 1057 1082,4,37.520706,126.973502
가로판매점,서울 용산구 원효로 166,356 912 1143,3,267 274 350 415 432 456 500 528 562 674 704 707 741 823 831 860 1016 1057 1078,19,37.535013,126.961552
복권세상,서울 양천구 신월로 187,532 796,2,704 739 740 786 817 834 853 899 899 899,10,37.519693,126.843644
까치복권,서울 양천구 화곡로 103 1층 &#40;신월동&#41;,,0,,0,37.539965,126.83328
토큰박스,서울 동대문구 이문로 93 외대앞 버스정류장,1036,1,770,1,37.595365,127.059217
로또판매점,서울 동대문구 왕산로37길 11 1층 슈퍼 내 &#40;청량리동&#41;,,0,,0,37.580608,127.043985
버스카드충전소,서울 강남구 테헤란로 625 삼성동 덕명빌딩 앞,,0,269 369 381 709 744,5,37.510134,127.066022
교통카드충전소,서울 강남구 선릉로 309,935 1107,2,341 357 738 910 970 1107 1108,7,37.497051,127.052226
서교동가판점,서울 마포구 양화로 115,768 944,2,316 646 698 822 922 1057 1057 1059 1092,9,37.554047,126.919508
